Timestamp,CPU%,MEM%,RSS (MB)
2023-10-18_07:21:24,24.1,6.9,548.77
2023-10-18_07:21:29,24.1,6.9,548.77
2023-10-18_07:21:34,24.1,6.9,549.02
2023-10-18_07:21:40,24.1,6.9,549.02
2023-10-18_07:21:45,24.1,6.9,549.02
2023-10-18_07:21:50,24.1,6.9,549.02
2023-10-18_07:21:55,24.1,6.9,551.79
2023-10-18_07:22:01,24.1,6.9,555.37
2023-10-18_07:22:06,24.1,6.9,555.37
2023-10-18_07:22:11,24.1,6.9,555.37
2023-10-18_07:22:17,24.1,6.9,555.37
2023-10-18_07:22:22,24.1,6.9,555.37
2023-10-18_07:22:27,24.1,6.9,555.37
2023-10-18_07:22:33,24.2,6.9,555.32
2023-10-18_07:22:38,24.2,6.9,555.32
2023-10-18_07:22:43,24.2,6.9,555.32
2023-10-18_07:22:48,24.1,6.9,555.32
2023-10-18_07:22:54,24.2,6.9,555.32
2023-10-18_07:22:59,24.1,6.9,555.32
2023-10-18_07:23:04,24.2,6.9,553.14
2023-10-18_07:23:10,24.2,6.9,553.14
2023-10-18_07:23:15,24.2,6.9,553.14
2023-10-18_07:23:20,24.1,6.9,553.14
2023-10-18_07:23:26,24.2,6.7,539.46
2023-10-18_07:23:31,24.2,6.7,539.60
2023-10-18_07:23:36,24.2,6.7,539.60
2023-10-18_07:23:41,24.2,6.7,539.60
2023-10-18_07:23:47,24.2,6.7,539.60
2023-10-18_07:23:52,24.2,6.6,528.49
2023-10-18_07:23:57,24.2,6.6,529.51
2023-10-18_07:24:03,24.2,6.6,529.73
2023-10-18_07:24:08,24.1,6.6,529.73
2023-10-18_07:24:13,24.2,6.5,516.98
2023-10-18_07:24:19,24.2,6.5,517.23
2023-10-18_07:24:24,24.1,6.5,517.23
2023-10-18_07:24:29,24.1,6.5,517.23
2023-10-18_07:24:35,24.1,6.5,517.27
2023-10-18_07:24:40,24.1,6.5,517.27
2023-10-18_07:24:45,24.1,6.3,505.29
2023-10-18_07:24:50,24.1,6.3,505.29
2023-10-18_07:24:56,24.1,6.3,505.29
2023-10-18_07:25:01,24.1,6.3,505.29
2023-10-18_07:25:06,24.0,6.3,505.71
2023-10-18_07:25:12,24.0,6.3,507.77
2023-10-18_07:25:17,24.0,6.2,494.14
2023-10-18_07:25:22,24.0,6.2,494.14
2023-10-18_07:25:28,24.0,6.2,494.14
2023-10-18_07:25:33,24.0,6.2,495.16
2023-10-18_07:25:38,24.0,6.2,496.77
2023-10-18_07:25:43,23.9,6.2,498.57
2023-10-18_07:25:49,23.9,6.0,484.08
2023-10-18_07:25:54,23.9,6.0,484.08
2023-10-18_07:25:59,23.9,6.0,484.20
2023-10-18_07:26:05,23.8,6.0,484.20
2023-10-18_07:26:10,23.8,6.0,484.45
2023-10-18_07:26:15,23.8,5.8,465.88
2023-10-18_07:26:21,23.8,5.8,465.97
2023-10-18_07:26:26,23.7,5.8,465.97
2023-10-18_07:26:31,23.7,5.8,465.97
2023-10-18_07:26:36,23.7,5.8,465.97
2023-10-18_07:26:42,23.6,5.8,465.97
2023-10-18_07:26:47,23.6,5.5,443.12
2023-10-18_07:26:52,23.6,5.5,443.12
2023-10-18_07:26:58,23.5,5.5,443.26
2023-10-18_07:27:03,23.5,5.5,443.26
2023-10-18_07:27:08,23.4,5.5,443.26
2023-10-18_07:27:14,23.4,5.5,443.26
2023-10-18_07:27:19,23.4,5.5,443.26
2023-10-18_07:27:24,23.3,5.5,443.26
2023-10-18_07:27:29,23.3,5.5,443.26
2023-10-18_07:27:35,23.2,5.5,443.26
2023-10-18_07:27:40,23.2,5.5,443.26
2023-10-18_07:27:45,23.1,5.2,417.92
2023-10-18_07:27:51,23.1,5.2,418.05
2023-10-18_07:27:56,23.0,5.2,418.05
2023-10-18_07:28:01,23.0,5.2,418.05
2023-10-18_07:28:07,22.9,5.2,418.30
2023-10-18_07:28:12,22.8,5.2,418.30
2023-10-18_07:28:17,22.8,5.2,418.30
2023-10-18_07:28:22,22.7,5.2,418.30
2023-10-18_07:28:28,22.7,5.2,418.30
2023-10-18_07:28:33,22.6,5.2,418.30
2023-10-18_07:28:38,22.5,5.2,418.30
2023-10-18_07:28:44,22.5,5.2,418.30
2023-10-18_07:28:49,22.4,5.2,418.30
2023-10-18_07:28:54,22.3,5.2,418.30
2023-10-18_07:29:00,22.3,5.2,418.30
2023-10-18_07:29:05,22.2,4.9,389.65
2023-10-18_07:29:10,22.1,4.9,390.46
2023-10-18_07:29:15,22.1,4.9,389.98
2023-10-18_07:29:21,22.0,4.9,390.01
2023-10-18_07:29:26,22.0,1.9,154.02
2023-10-18_07:29:31,21.9,1.9,154.27
2023-10-18_07:29:37,21.8,1.9,154.53
2023-10-18_07:29:42,21.8,1.6,133.32
2023-10-18_07:29:47,21.7,1.6,133.32
2023-10-18_07:29:52,21.6,1.6,133.32
2023-10-18_07:29:58,21.5,1.6,133.32
2023-10-18_07:30:03,21.5,1.6,133.32
2023-10-18_07:30:08,21.4,1.6,133.32
